lemma,"poscode","surface"
Bessemer,"0","Bessemer"
Bethel,"0","Bethel"
Bettles,"0","Bettles"
Beverly,"0","Beverly"
Beziers,"0","Beziers"
Bhairawa,"0","Bhairawa"
Bharatpur,"0","Bharatpur"
Bhaunagar,"0","Bhaunagar"
Bhojpur,"0","Bhojpur"
Bhopal,"0","Bhopal"
Bhubaneswar,"0","Bhubaneswar"
Bhuj,"0","Bhuj"
Biak,"0","Biak"
Biala Podlaska,"0","Biala Podlaska"
Biarritz-bayonne,"0","Biarritz-bayonne"
Big Mountain,"0","Big Mountain"
Big Piney,"0","Big Piney"
Big Timber,"0","Big Timber"
Big Trout Lake,"0","Big Trout Lake"
Biggin Hill,"0","Biggin Hill"
Bijie,"0","Bijie"
Bilaspur,"0","Bilaspur"
Bilbao,"0","Bilbao"
Bildudalur,"0","Bildudalur"
Billings,"0","Billings"
Billund,"0","Billund"
Biloela,"0","Biloela"
Biloxi,"0","Biloxi"
Bima,"0","Bima"
Binghamton,"0","Binghamton"
Bintulu,"0","Bintulu"
Bintuni,"0","Bintuni"
Biratnagar,"0","Biratnagar"
Birburg,"0","Birburg"
Bird Island,"0","Bird Island"
Birdsville,"0","Birdsville"
Birjand,"0","Birjand"
Birmingham,"0","Birmingham"
Bisha,"0","Bisha"
Bishkek,"0","Bishkek"
Bisho,"0","Bisho"
Bishop,"0","Bishop"
Biskra,"0","Biskra"
Bismarck,"0","Bismarck"
Bissau,"0","Bissau"
Bitam,"0","Bitam"
Black Tickle,"0","Black Tickle"
Blackall,"0","Blackall"
Blackbushe,"0","Blackbushe"
Blackpool,"0","Blackpool"
Blackwater,"0","Blackwater"
Blagoveschensk,"0","Blagoveschensk"
Blantyre,"0","Blantyre"
Block Island,"0","Block Island"
Bloemfontein,"0","Bloemfontein"
Bloomington,"0","Bloomington"
Blue River,"0","Blue River"
Bluefield,"0","Bluefield"
Bluefields,"0","Bluefields"
Blythe,"0","Blythe"
Blytheville,"0","Blytheville"
Bo,"0","Bo"
Boa Vista,"0","Boa Vista"
Bob Quinn Lake,"0","Bob Quinn Lake"
Bobo-dioulasso,"0","Bobo-dioulasso"
Boca Raton,"0","Boca Raton"
Bocas Del Toro,"0","Bocas Del Toro"
Bodaibo,"0","Bodaibo"
Bodo,"0","Bodo"
Bodrum,"0","Bodrum"
Boende,"0","Boende"
Bogota,"0","Bogota"
Boigu,"0","Boigu"
Bointo,"0","Bointo"
Boise,"0","Boise"
Bojnourd,"0","Bojnourd"
Bokondini-Papua Island,"0","Bokondini-Papua Island"
Bole,"0","Bole"
Bologna,"0","Bologna"
Bolzano,"0","Bolzano"
Bom Jesus Da Lapa,"0","Bom Jesus Da Lapa"
Boma,"0","Boma"
Bonanza,"0","Bonanza"
Bonaventure,"0","Bonaventure"
Bonnyville,"0","Bonnyville"
Bonthe,"0","Bonthe"
Bora Bora,"0","Bora Bora"
Borba,"0","Borba"
Bordeaux,"0","Bordeaux"
Bordj Badji Mokhtar,"0","Bordj Badji Mokhtar"
Borkum,"0","Borkum"
Borlange,"0","Borlange"
Borongan,"0","Borongan"
Borroloola,"0","Borroloola"
Bosaso,"0","Bosaso"
Boston,"0","Boston"
Botucatu,"0","Botucatu"
Bouake,"0","Bouake"
Boufarik,"0","Boufarik"
Boulder,"0","Boulder"
Boulia,"0","Boulia"
Boundary Bay,"0","Boundary Bay"
Bourg,"0","Bourg"
Bourgas,"0","Bourgas"
Bourges,"0","Bourges"
Bourke,"0","Bourke"
Bournemouth,"0","Bournemouth"
Bowling Green,"0","Bowling Green"
Bozeman,"0","Bozeman"
Brac,"0","Brac"
Bradford,"0","Bradford"
Bradshaw Field,"0","Bradshaw Field"
Brady,"0","Brady"
Braganca Paulista,"0","Braganca Paulista"
Braganca,"0","Braganca"
Brainerd,"0","Brainerd"
Brampton Island,"0","Brampton Island"
Brandon,"0","Brandon"
Brantford,"0","Brantford"
Brasilia,"0","Brasilia"
Bratislava,"0","Bratislava"
Bratsk,"0","Bratsk"
Braunschweig,"0","Braunschweig"
Brazzaville,"0","Brazzaville"
Breckenridge,"0","Breckenridge"
Bremen,"0","Bremen"
Bremerhaven,"0","Bremerhaven"
Bremerton,"0","Bremerton"
Brescia,"0","Brescia"
