lemma,"poscode","surface"
DBQ,"0","DBQ"
DBT,"0","DBT"
DBV,"0","DBV"
DCA,"0","DCA"
DCF,"0","DCF"
DCI,"0","DCI"
DCM,"0","DCM"
DCN,"0","DCN"
DDC,"0","DDC"
DEA,"0","DEA"
DEB,"0","DEB"
DEC,"0","DEC"
DED,"0","DED"
DEE,"0","DEE"
DEL,"0","DEL"
DEM,"0","DEM"
DEN,"0","DEN"
DES,"0","DES"
DET,"0","DET"
DEZ,"0","DEZ"
DFW,"0","DFW"
DGE,"0","DGE"
DGL,"0","DGL"
DGO,"0","DGO"
DGP,"0","DGP"
DGT,"0","DGT"
DHA,"0","DHA"
DHI,"0","DHI"
DHM,"0","DHM"
DHN,"0","DHN"
DHR,"0","DHR"
DHT,"0","DHT"
DIB,"0","DIB"
DIE,"0","DIE"
DIG,"0","DIG"
DIJ,"0","DIJ"
DIK,"0","DIK"
DIL,"0","DIL"
DIN,"0","DIN"
DIQ,"0","DIQ"
DIR,"0","DIR"
DIS,"0","DIS"
DIU,"0","DIU"
DIY,"0","DIY"
DJB,"0","DJB"
DJE,"0","DJE"
DJG,"0","DJG"
DJJ,"0","DJJ"
DJO,"0","DJO"
DKI,"0","DKI"
DKK,"0","DKK"
DKR,"0","DKR"
DKS,"0","DKS"
DKX,"0","DKX"
DLA,"0","DLA"
DLC,"0","DLC"
DLE,"0","DLE"
DLF,"0","DLF"
DLG,"0","DLG"
DLH,"0","DLH"
DLI,"0","DLI"
DLK,"0","DLK"
DLL,"0","DLL"
DLM,"0","DLM"
DLU,"0","DLU"
DLY,"0","DLY"
DLZ,"0","DLZ"
DMA,"0","DMA"
DMB,"0","DMB"
DMD,"0","DMD"
DME,"0","DME"
DMK,"0","DMK"
DMM,"0","DMM"
DMN,"0","DMN"
DMT,"0","DMT"
DMU,"0","DMU"
DNA,"0","DNA"
DND,"0","DND"
